Product Name,Qty,Price,ModifiedDate,CreatedDate
"Ser/Cour/Wis Cord Necklace",0,"$10.00","1/05/12 06:22 PM","7/22/11 11:08 AM"
"Yoga Rugs",4,"$20.00","5/07/12 05:49 PM","5/04/12 06:09 PM"
"Ayu Drink: Mango Lime",33,"$2.50","6/02/12 10:23 AM","7/23/11 11:31 AM"
"Tennis Balls",1,"$0.25","6/02/12 11:52 AM","1/13/12 04:44 PM"
"Thermos Water Bottle",0,"$6.50","6/07/12 04:58 PM","8/13/11 12:33 PM"
"Ayu Drink: Ginger",11,"$2.50","6/08/12 10:59 AM","7/22/11 11:18 AM"
"Triple FX Energy Drink",15,"$2.50","6/21/12 07:02 PM","4/01/12 08:42 AM"
"Why Zebras Don't Get Ulcers by Robert Sapolsky",4,"$19.00","7/10/12 02:06 PM","5/19/12 05:05 PM"
"Namaste Bath Salts",3,"$15.00","7/21/12 10:31 AM","7/19/11 02:42 PM"
"AL Lavendar Terracotta Soy",0,"$12.00","8/02/12 03:14 PM","7/22/11 10:56 AM"
"AL Lemongrass & Sage",2,"$12.00","8/02/12 03:15 PM","7/22/11 10:56 AM"
"AL Ylang & Ginger Terracotta",3,"$12.00","8/02/12 03:17 PM","7/22/11 10:59 AM"
"SFBSC Citrus Spa Therapy Bath",3,"$10.00","8/02/12 03:23 PM","7/22/11 10:55 AM"
"TS Tiny T-Spheres Aromatherapy Infused Massage Balls-PEP-UP-MINT",3,"$20.00","8/02/12 03:28 PM","8/02/11 02:13 PM"
"TS T-Spheres Aromatherapy Infused Massage Balls-PERK UP",3,"$30.00","8/02/12 03:29 PM","8/02/11 12:57 PM"
"UK Sticker: Universe Knows-Free Your Spirit",99,"$3.00","8/02/12 03:35 PM","7/26/11 02:32 PM"
"UK Sticker: Universe Knows-Make a Difference",100,"$3.00","8/02/12 03:36 PM","7/22/11 11:17 AM"
"UK Sticker: Universe Knows-Seek your summit",99,"$3.00","8/02/12 03:36 PM","7/26/11 02:34 PM"
"YR Yoga Rat Non-Toxic Mat",0,"$25.00","8/02/12 03:44 PM","7/06/11 03:46 PM"
"YR Yoga Rat Non-Toxic Mat",0,"$25.00","8/02/12 03:44 PM","7/06/11 03:50 PM"
"YR Yoga Rat Non-Toxic Mat",0,"$25.00","8/02/12 03:48 PM","7/06/11 03:49 PM"
"YR Yoga Rat TPE Mat: Skeleton",0,"$45.00","8/02/12 03:49 PM","7/06/11 12:01 PM"
"YR Yoga Rat TPE Mat: Skeleton",1,"$45.00","8/02/12 03:50 PM","3/07/12 11:19 AM"
"YR Yoga Rat TPE Mat: Super Aum",0,"$45.00","8/02/12 03:50 PM","7/06/11 03:44 PM"
"YR YogaRat Mat Towels",0,"$25.00","8/02/12 03:51 PM","7/22/11 11:15 AM"
"TM TrainerMat: Maternity Exercise & Yoga Mat",6,"$30.00","8/02/12 03:53 PM","6/13/12 03:26 PM"
"TM TrainerMat: Pro Plus Mat with DVD",4,"$30.00","8/02/12 03:53 PM","6/14/12 04:34 PM"
"FF ""Be gentle with the earth"" bracelet on cafe' leather by Far Fetched",1,"$12.00","8/02/12 03:56 PM","10/27/11 03:56 PM"
"FF ""Carpe Diem"" bracelet on cafe' leather by Far Fetched",0,"$12.00","8/02/12 04:00 PM","11/01/11 05:23 PM"
"FF ""Everything is possible"" bracelet on cafe' leather",2,"$12.00","8/02/12 04:02 PM","10/27/11 03:36 PM"
"FF ""Follow your heart"" bracelet on cafe' leather",0,"$12.00","8/02/12 04:02 PM","10/27/11 03:58 PM"
"FF ""Friends"" bracelet on cafe' leather",2,"$12.00","8/02/12 04:03 PM","10/27/11 04:01 PM"
"FF ""Go with all your heart"" bracelet on cafe' leather",1,"$12.00","8/02/12 04:03 PM","10/27/11 03:55 PM"
"FF ""Live with intention"" bracelet on cafe' leather",1,"$12.00","8/02/12 04:04 PM","10/27/11 03:33 PM"
"FF ""Live your dream"" bracelet on cafe' leather",2,"$12.00","8/02/12 04:04 PM","10/27/11 03:28 PM"
"FF ""Namaste"" Ring",1,"$26.00","8/02/12 04:05 PM","10/27/11 04:06 PM"
"FF ""Sisters"" bracelet on cafe' leather",1,"$12.00","8/02/12 04:06 PM","10/27/11 03:58 PM"
"FF ""Thrill, Amaze, Inspire"" bracelet on cafe' leather by Far Fetched",0,"$12.00","8/02/12 04:07 PM","11/01/11 05:23 PM"
"CF 4 for $5 Stretchmarks bracelet",10,"$5.00","8/02/12 04:09 PM","7/22/11 11:01 AM"
"Travel Yoga mats",10,"$15.00","8/07/12 04:09 PM","5/04/12 06:06 PM"
"LM Little Moon Essentials- Asana Kisser for Sore Muscles",0,"$15.00","8/18/12 12:08 PM","7/26/11 03:08 PM"
"Global Peace Flag",2,"$18.00","8/29/12 06:14 PM","7/19/11 03:30 PM"
"Returned Check fee",-1,"$12.00","9/29/12 12:08 PM","9/29/12 10:44 AM"
"FF ""Peace comes from within"" bracelet on cafe' leather",-1,"$12.00","11/25/12 11:48 AM","10/27/11 03:35 PM"
"AL ""Angel"" Room Spray",5,"$9.00","11/30/12 01:05 PM","7/22/11 10:53 AM"
"Healing Flag",2,"$30.00","12/16/12 02:20 PM","7/19/11 03:29 PM"
"Jr. Round Bolster",1,"$28.00","12/22/12 12:26 PM","7/22/11 11:13 AM"
"Large Round Bolster",0,"$40.00","12/22/12 12:26 PM","7/22/11 11:14 AM"
"FF ""Live, love, laugh"" bracelet on cafe' leather",0,"$12.00","12/30/12 02:32 PM","10/27/11 03:57 PM"
"10 Foot D-ring buckle Yoga Strap",2,"$12.00","1/03/13 03:10 PM","1/03/13 03:10 PM"
"Pravara Natural Rubber Yoga Mat",3,"$50.00","1/03/13 03:36 PM","8/08/12 03:42 PM"
"YR Yoga Rat Non-Toxic Mat",0,"$25.00","1/05/13 12:08 PM","7/06/11 03:48 PM"
"Gypsy Yogi Asana Yoga Mat Bags- Baker Boutique",0,"$7.00","1/07/13 05:55 PM","3/29/12 05:38 PM"
"UK Universe Knows Shirt- Cherish the Journey",1,"$14.00","1/08/13 02:44 PM","7/28/11 12:20 PM"
"Unscented Silky Eye Pillows",0,"$10.00","1/21/13 04:58 PM","7/22/11 11:17 AM"
"Yoga for Anxiety by Mary NurrieStearns",4,"$17.95","1/29/13 08:30 PM","5/19/12 05:06 PM"
"10 Foot D-ring buckle Yoga Strap",1,"$12.00","2/19/13 05:31 PM","1/03/13 10:59 AM"
"Brocade Weekender Mat Bag",0,"$45.00","2/25/13 06:49 PM","7/22/11 10:59 AM"
"Namaste Mini Flag",1,"$10.00","2/25/13 06:49 PM","7/19/11 03:27 PM"
"VSO Vermont Soap Organics Yoga Mat Cleaner Spray 16oz",0,"$10.00","3/01/13 01:05 PM","8/02/11 03:05 PM"
"Peruvian Necklace",10,"$25.00","3/08/13 11:58 AM","7/22/11 11:07 AM"
"LM Little Moon Essentials- Sleep Comes Easy Theramist",-2,"$7.00","3/12/13 06:19 PM","7/26/11 03:19 PM"
"Fitness Ball 75cm",0,"$20.00","3/17/13 12:27 PM","3/12/12 05:11 PM"
"Soft Yoga Block",1,"$10.00","3/26/13 03:56 PM","2/07/13 07:04 PM"
"AL Tea Tree/Lemon Shower Gel",4,"$10.00","4/03/13 05:12 PM","7/22/11 10:58 AM"
"LM Little Moon Essentials- Crampy  Belly Rub 2oz",2,"$15.00","4/07/13 11:08 AM","7/26/11 03:17 PM"
"Yoga Mat Harness Strap",0,"$12.00","4/07/13 12:55 PM","4/07/13 12:45 PM"
"Beige 1/4 inch alignment yoga mat",2,"$25.00","4/19/13 11:45 AM","5/04/12 06:05 PM"
"What We Say Matters by Judith Lasater",3,"$14.95","4/28/13 11:02 AM","5/19/12 05:03 PM"
"AL ""Buddha"" Room Spray",4,"$9.00","5/03/13 11:47 AM","7/22/11 10:53 AM"
"FF ""Live in the moment"" bracelet on cafe' leather",0,"$12.00","5/05/13 11:01 AM","10/27/11 04:00 PM"
"Golf Balls",31,"$0.25","5/11/13 12:00 PM","1/13/12 04:47 PM"
"YR Yoga Rat Non-Toxic Mat",0,"$25.00","5/12/13 01:58 PM","3/07/12 11:19 AM"
"LM Little Moon Essentials- Small Sleep Comes Easy Salve",1,"$6.00","5/20/13 08:15 PM","7/26/11 03:46 PM"
"Carolyn Forsman Zen Bracelet",10,"$20.00","5/22/13 03:53 PM","5/22/13 03:53 PM"
"Hematite LOVE necklace",0,"$10.50","5/22/13 03:53 PM","7/22/11 11:06 AM"
"Murano Glass Leaf on cord",4,"$22.00","5/22/13 03:54 PM","7/22/11 11:06 AM"
"Kids Mat",0,"$18.00","5/24/13 11:07 AM","1/03/13 10:50 AM"
"Clippy Keepers~Storage ware for you hair flair~",5,"$17.00","5/31/13 11:53 AM","8/04/11 03:47 PM"
